##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
net55,net68 0.002742 0.003058 0.000316 0.000316 11.525734 {}
_070_,_112_ 0.000554 0.000617 0.000063 0.000063 11.398744 {}
_065_,_101_ 0.000935 0.001037 0.000102 0.000102 10.915663 {}
_089_,_105_ 0.000500 0.000445 0.000054 -0.000054 10.901580 {}
_064_,net70 0.000406 0.000450 0.000044 0.000044 10.893776 {}
_023_,net36 0.000943 0.000841 0.000102 -0.000102 10.806216 {}
_143_,clknet_2_0_0_clk 0.000647 0.000579 0.000068 -0.000068 10.511444 {}
dpath.a_lt_b$in1[10],dpath.a_lt_b$in1[12] 0.000750 0.000672 0.000078 -0.000078 10.350608 {}
dpath.a_lt_b$in1[9],net70 0.000625 0.000563 0.000062 -0.000062 9.909903 {}
_039_,_083_ 0.000400 0.000440 0.000040 0.000040 9.905485 {}
dpath.a_lt_b$in0[0],net32 0.001250 0.001126 0.000124 -0.000124 9.903100 {}
_103_,net33 0.000562 0.000508 0.000054 -0.000054 9.614496 {}
net21,net40 0.000562 0.000508 0.000054 -0.000054 9.608450 {}
net68,net97 0.001424 0.001558 0.000134 0.000134 9.408123 {}
_091_,clknet_1_0_0_clk 0.001108 0.001005 0.000104 -0.000104 9.361829 {}
net19,net36 0.001000 0.000907 0.000092 -0.000092 9.243749 {}
_093_,_105_ 0.000739 0.000671 0.000068 -0.000068 9.183875 {}
_112_,dpath.a_lt_b$in1[6] 0.000609 0.000665 0.000056 0.000056 9.120969 {}
_137_,dpath.a_lt_b$in1[15] 0.000812 0.000885 0.000073 0.000073 8.925881 {}
_044_,dpath.a_lt_b$in1[6] 0.000454 0.000414 0.000041 -0.000041 8.920555 {}
_112_,dpath.a_lt_b$in1[14] 0.000421 0.000459 0.000037 0.000037 8.890339 {}
_041_,_060_ 0.000647 0.000704 0.000057 0.000057 8.825549 {}
dpath.a_lt_b$in0[2],net79 0.000437 0.000399 0.000038 -0.000038 8.770975 {}
dpath.a_lt_b$in1[15],net42 0.000437 0.000399 0.000038 -0.000038 8.770975 {}
_142_,dpath.a_lt_b$in1[0] 0.000437 0.000399 0.000038 -0.000038 8.759087 {}
_012_,_124_ 0.000554 0.000506 0.000048 -0.000048 8.650404 {}
_067_,net42 0.000993 0.001078 0.000084 0.000084 8.464628 {}
clknet_2_2_0_clk,net59 0.000616 0.000667 0.000051 0.000051 8.200675 {}
dpath.a_lt_b$in0[15],net36 0.002375 0.002186 0.000188 -0.000188 7.919870 {}
clknet_2_1_0_clk,net68 0.000647 0.000697 0.000050 0.000050 7.741796 {}
net15,net49 0.005036 0.005423 0.000387 0.000387 7.679461 {}
_112_,dpath.a_lt_b$in1[13] 0.000457 0.000491 0.000034 0.000034 7.544766 {}
_133_,dpath.a_lt_b$in1[15] 0.000647 0.000599 0.000048 -0.000048 7.433653 {}
_077_,dpath.a_lt_b$in0[5] 0.000647 0.000599 0.000048 -0.000048 7.433653 {}
_012_,_105_ 0.000554 0.000513 0.000041 -0.000041 7.414297 {}
_093_,_159_ 0.000831 0.000771 0.000061 -0.000061 7.294674 {}
_112_,dpath.a_lt_b$in0[0] 0.001105 0.001024 0.000080 -0.000080 7.284199 {}
_038_,_063_ 0.001093 0.001171 0.000078 0.000078 7.124225 {}
_178_,dpath.a_lt_b$in1[15] 0.000554 0.000515 0.000039 -0.000039 7.017357 {}
_112_,_155_ 0.000831 0.000773 0.000058 -0.000058 6.973754 {}
ctrl.state.out[1],net34 0.000831 0.000775 0.000057 -0.000057 6.829412 {}
dpath.a_lt_b$in0[8],dpath.a_lt_b$in1[8] 0.002111 0.002255 0.000144 0.000144 6.819376 {}
_112_,net24 0.000416 0.000388 0.000028 -0.000028 6.655119 {}
