##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
_101_,_166_ 0.000554 0.000289 0.000265 -0.000265 47.833069 {}
net1,net56 0.000706 0.000368 0.000338 -0.000338 47.829069 {}
ctrl.state.out[1],ctrl.state.out[2] 0.000416 0.000218 0.000198 -0.000198 47.654638 {}
_105_,net68 0.001014 0.000531 0.000483 -0.000483 47.611623 {}
_068_,net55 0.000739 0.000388 0.000351 -0.000351 47.526185 {}
_111_,net79 0.000586 0.000308 0.000278 -0.000278 47.458793 {}
clknet_2_1_0_clk,net41 0.000670 0.000352 0.000317 -0.000317 47.394206 {}
_060_,_082_ 0.000416 0.000219 0.000197 -0.000197 47.369659 {}
net64,net68 0.003958 0.002084 0.001874 -0.001874 47.344617 {}
net102,net79 0.001386 0.000730 0.000655 -0.000655 47.308412 {}
_040_,_112_ 0.001201 0.000633 0.000568 -0.000568 47.268828 {}
_112_,dpath.a_lt_b$in1[14] 0.000421 0.000223 0.000199 -0.000199 47.184856 {}
_065_,_166_ 0.000554 0.000293 0.000262 -0.000262 47.184072 {}
dpath.a_lt_b$in1[1],net91 0.000600 0.000318 0.000283 -0.000283 47.102695 {}
dpath.a_lt_b$in0[12],net36 0.000508 0.000269 0.000239 -0.000239 47.088025 {}
_049_,dpath.a_lt_b$in0[2] 0.000547 0.000292 0.000255 -0.000255 46.628918 {}
net36,net75 0.001478 0.000789 0.000689 -0.000689 46.625245 {}
net68,net70 0.000846 0.000452 0.000394 -0.000394 46.603425 {}
_067_,net42 0.000993 0.000533 0.000460 -0.000460 46.353439 {}
_104_,_111_ 0.000831 0.000446 0.000385 -0.000385 46.347190 {}
_101_,_111_ 0.000744 0.000400 0.000344 -0.000344 46.236094 {}
net36,net37 0.001155 0.000621 0.000534 -0.000534 46.230839 {}
_055_,_112_ 0.000854 0.000460 0.000394 -0.000394 46.161424 {}
_058_,_093_ 0.001087 0.000586 0.000501 -0.000501 46.112959 {}
_158_,dpath.a_lt_b$in1[3] 0.000515 0.000279 0.000236 -0.000236 45.764310 {}
_112_,net51 0.001163 0.000632 0.000531 -0.000531 45.640273 {}
_111_,clknet_2_2_0_clk 0.000458 0.000249 0.000209 -0.000209 45.578462 {}
net36,net70 0.002679 0.001464 0.001215 -0.001215 45.364122 {}
dpath.a_lt_b$in0[9],net36 0.000635 0.000350 0.000285 -0.000285 44.930968 {}
clknet_2_1_0_clk,net36 0.002214 0.001221 0.000993 -0.000993 44.842769 {}
dpath.a_lt_b$in0[11],net39 0.000706 0.000392 0.000314 -0.000314 44.493058 {}
clknet_2_1_0_clk,net68 0.000647 0.000360 0.000287 -0.000287 44.371987 {}
_101_,net68 0.005032 0.002800 0.002232 -0.002232 44.349363 {}
clknet_2_1_0_clk,dpath.a_lt_b$in1[13] 0.001104 0.000615 0.000489 -0.000489 44.286324 {}
_105_,dpath.a_lt_b$in0[11] 0.000818 0.000458 0.000360 -0.000360 43.968427 {}
_041_,net79 0.000554 0.000311 0.000244 -0.000244 43.966693 {}
_061_,_086_ 0.000612 0.000343 0.000269 -0.000269 43.934728 {}
dpath.a_lt_b$in1[14],net36 0.000821 0.000462 0.000359 -0.000359 43.728550 {}
_041_,_060_ 0.000647 0.000365 0.000282 -0.000282 43.621698 {}
net55,net68 0.002742 0.001565 0.001177 -0.001177 42.927125 {}
dpath.a_lt_b$in1[6],net70 0.000429 0.000248 0.000182 -0.000182 42.292081 {}
dpath.a_lt_b$in0[8],dpath.a_lt_b$in1[8] 0.002111 0.001227 0.000884 -0.000884 41.891985 {}
_061_,_083_ 0.000663 0.000387 0.000276 -0.000276 41.591160 {}
net15,net49 0.005036 0.002963 0.002073 -0.002073 41.163248 {}
dpath.a_lt_b$in1[4],net36 0.000600 0.000354 0.000247 -0.000247 41.060464 {}
_070_,_112_ 0.000554 0.000333 0.000221 -0.000221 39.885862 {}
_040_,dpath.a_lt_b$in1[11] 0.000755 0.000458 0.000298 -0.000298 39.410444 {}
_060_,dpath.a_lt_b$in1[8] 0.000687 0.000417 0.000270 -0.000270 39.254391 {}
_101_,net103 0.000589 0.000361 0.000228 -0.000228 38.742125 {}
